본부 구분,팀 구분,근무형태,Opark 근무기호,팀 근무기호,실제 근무,법정 근로시간,연장 근로시간,소정 근로시간,비고,등록자,등록시간
SO,백본SO팀,교대근무자,주,휴경(주),휴,0,0.0,0.0,주간패턴에 휴가,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,휴반(주),주,4,0.0,0.0,주간패턴에 반차,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,EL,주,0,2.0,0.0,교대근무자 비번에 주간 EL,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,선택근무제,비,숙대(비),숙(대체),0,0.0,0.0,비번패턴에 숙휴 대체근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,비,야대(비),야(대체),0,13.5,0.0,비번패턴에 야간 대체근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,비,야대(비)-1,야(대체)-1인,0,13.5,0.0,비번패턴에 야간 대체 1인근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,비,주(검)대(비),주(대체),0,8.0,0.0,비번패턴에 주간 기간망 작업검토 대체근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,비,주(센)대(비),주(대체),0,8.0,0.0,비번패턴에 주간 기간망 센싱 대체근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,비,주대(비),주(대체),0,8.0,0.0,비번패턴에 주간 대체근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,비,주대(비)-H,주(대체)-재택,0,8.0,0.0,비번패턴에 주간 대체 재택근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,야,야대(휴)-1,야(대체)-1인,0,0.0,13.5,야간 대체근무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,건반(주),휴,0,0.0,8.0,건강검진 후 반차,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,경조휴(주),휴,0,0.0,0.0,경조휴가,ITOS 시스템,2023-12-28 23:25:27
